Geography,Geographic Area Name,Total
0500000US08013,"Boulder County, Colorado",312996
0500000US08014,"Broomfield County, Colorado",69095
0500000US08015,"Chaffee County, Colorado",18565
0500000US08017,"Cheyenne County, Colorado",1959
0500000US08019,"Clear Creek County, Colorado",9361
0500000US08021,"Conejos County, Colorado",8088
0500000US08023,"Costilla County, Colorado",3810
0500000US08025,"Crowley County, Colorado",4551
0500000US08027,"Custer County, Colorado",4936
0500000US08029,"Delta County, Colorado",29480
0500000US08031,"Denver County, Colorado",704205
0500000US08033,"Dolores County, Colorado",1896
0500000US08035,"Douglas County, Colorado",342681
0500000US08037,"Eagle County, Colorado",54743
0500000US08039,"Elbert County, Colorado",26116
0500000US08041,"El Paso County, Colorado",690908
0500000US08043,"Fremont County, Colorado",36764
0500000US08045,"Garfield County, Colorado",58678
0500000US08047,"Gilpin County, Colorado",5919
0500000US08049,"Grand County, Colorado",15445
0500000US08051,"Gunnison County, Colorado",16399
0500000US08053,"Hinsdale County, Colorado",781
0500000US08055,"Huerfano County, Colorado",6579
0500000US08057,"Jackson County, Colorado",1311
0500000US08059,"Jefferson County, Colorado",569502
0500000US08061,"Kiowa County, Colorado",1431
0500000US08063,"Kit Carson County, Colorado",7025
0500000US08065,"Lake County, Colorado",7735
0500000US08067,"La Plata County, Colorado",54250
0500000US08069,"Larimer County, Colorado",340969
0500000US08071,"Las Animas County, Colorado",13534
0500000US08073,"Lincoln County, Colorado",3460
0500000US08075,"Logan County, Colorado",21383
0500000US08077,"Mesa County, Colorado",149401
0500000US08079,"Mineral County, Colorado",853
0500000US08081,"Moffat County, Colorado",13030
0500000US08083,"Montezuma County, Colorado",25958
0500000US08085,"Montrose County, Colorado",41846
0500000US08087,"Morgan County, Colorado",28193
0500000US08089,"Otero County, Colorado",17866
0500000US08091,"Ouray County, Colorado",4886
0500000US08093,"Park County, Colorado",18092
0500000US08095,"Phillips County, Colorado",4266
0500000US08097,"Pitkin County, Colorado",17916
0500000US08099,"Prowers County, Colorado",11702
0500000US08101,"Pueblo County, Colorado",163515
0500000US08103,"Rio Blanco County, Colorado",6025
0500000US08105,"Rio Grande County, Colorado",11095
0500000US08107,"Routt County, Colorado",25067
0500000US08109,"Saguache County, Colorado",6708
0500000US08111,"San Juan County, Colorado",646
0500000US08113,"San Miguel County, Colorado",8081
0500000US08115,"Sedgwick County, Colorado",2270
0500000US08117,"Summit County, Colorado",30525
0500000US08119,"Teller County, Colorado",24872
0500000US08121,"Washington County, Colorado",4562
0500000US08123,"Weld County, Colorado",307998
0500000US08125,"Yuma County, Colorado",9638
0500000US09001,"Fairfield County, Connecticut",926873
0500000US09003,"Hartford County, Connecticut",871495
0500000US09005,"Litchfield County, Connecticut",178814
0500000US09007,"Middlesex County, Connecticut",157562
0500000US09009,"New Haven County, Connecticut",829315
0500000US09011,"New London County, Connecticut",255313
0500000US09013,"Tolland County, Connecticut",136016
0500000US09015,"Windham County, Connecticut",111547
0500000US10001,"Kent County, Delaware",173725
0500000US10003,"New Castle County, Delaware",540970
0500000US10005,"Sussex County, Delaware",226571
0500000US11001,"District of Columbia, District of Columbia",669089
0500000US12001,"Alachua County, Florida",254198
0500000US12003,"Baker County, Florida",25633
0500000US12005,"Bay County, Florida",177623
0500000US12007,"Bradford County, Florida",23633
0500000US12009,"Brevard County, Florida",587795
0500000US12011,"Broward County, Florida",1925837
0500000US12013,"Calhoun County, Florida",12289
0500000US12015,"Charlotte County, Florida",182114
0500000US12017,"Citrus County, Florida",145046
0500000US12019,"Clay County, Florida",213612
0500000US12021,"Collier County, Florida",376077
