"disasterNumber","state","declarationType","fyDeclared","declarationTitle","incidentBeginDate","placeCode","designatedArea","durationInMonths","declarationInMonths","waitingTime"
4659,"MN","DR",2022,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2022-04-22,99125,"Red Lake (County)",1.77,NA,2.69
4659,"MN","DR",2022,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2022-04-22,99135,"Roseau (County)",1.77,NA,2.69
4659,"MN","DR",2022,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2022-04-22,99137,"St. Louis (County)",1.77,NA,2.69
4120,"VT","DR",2013,"SEVERE STORMS AND FLOODING",2013-05-22,99015,"Lamoille (County)",0.13,123.96,0.72
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,11510,"Chehalis Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,31565,"Hoh Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,49205,"Nisqually Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,57080,"Quinault Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,63910,"Shoalwater Bay Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,64785,"Skokomish Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,67350,"Squaxin Island Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,69310,"Swinomish Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,73652,"Upper Skagit Indian Reservation",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99007,"Chelan (County)",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99009,"Clallam (County)",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99015,"Cowlitz (County)",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99021,"Franklin (County)",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99027,"Grays Harbor (County)",0.66,NA,3.06
4650,"WA","DR",2022,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",2021-12-26,99031,"Jefferson (County)",0.66,NA,3.06
